Mean Runtime Report (sec.)  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                      , Base_Seq , Base_Seq , Base_Seq     , Base_Seq , Lambda_Seq , Lambda_Seq   , Lambda_Seq , RAJA_Seq , RAJA_Seq , RAJA_Seq , RAJA_Seq     , RAJA_Seq , RAJA_Seq , RAJA_Seq , Base_OpenMP , Base_OpenMP  , Base_OpenMP , Lambda_OpenMP , Lambda_OpenMP , Lambda_OpenMP , RAJA_OpenMP , RAJA_OpenMP , RAJA_OpenMP  , RAJA_OpenMP , RAJA_OpenMP , RAJA_OpenMP
Kernel                      , default  , library  , replicate_64 , direct   , default    , replicate_64 , direct     , default  , new      , library  , replicate_64 , direct   , funcptr  , virtfunc , default     , replicate_64 , direct      , default       , replicate_64  , direct        , default     , new         , replicate_64 , direct      , funcptr     , virtfunc   
Lcals_HYDRO_1D              , 3.761548 ,  Not run ,      Not run ,  Not run ,   3.769377 ,      Not run ,    Not run , 3.771423 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    4.498625 ,      Not run ,     Not run ,      4.465758 ,       Not run ,       Not run ,    4.797438 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Lcals_HYDRO_2D              , 5.287003 ,  Not run ,      Not run ,  Not run ,   5.310909 ,      Not run ,    Not run , 5.277827 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    4.137222 ,      Not run ,     Not run ,      4.175565 ,       Not run ,       Not run ,    4.128210 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Lcals_INT_PREDICT           , 11.557411 ,  Not run ,      Not run ,  Not run ,  11.484521 ,      Not run ,    Not run , 11.608575 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    8.381963 ,      Not run ,     Not run ,      8.925489 ,       Not run ,       Not run ,    8.988770 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Lcals_PLANCKIAN             , 2.381390 ,  Not run ,      Not run ,  Not run ,   2.384207 ,      Not run ,    Not run , 2.380156 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    0.622953 ,      Not run ,     Not run ,      0.620862 ,       Not run ,       Not run ,    0.619447 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Lcals_TRIDIAG_ELIM          , 6.366629 ,  Not run ,      Not run ,  Not run ,   6.381936 ,      Not run ,    Not run , 6.388263 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    5.845271 ,      Not run ,     Not run ,      5.711948 ,       Not run ,       Not run ,    5.909463 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Polybench_2MM               , 74.959654 ,  Not run ,      Not run ,  Not run ,  74.688751 ,      Not run ,    Not run , 74.936109 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,   29.298133 ,      Not run ,     Not run ,     30.966309 ,       Not run ,       Not run ,   30.019440 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Polybench_3MM               , 112.159165 ,  Not run ,      Not run ,  Not run , 111.880851 ,      Not run ,    Not run , 111.760751 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,   45.655809 ,      Not run ,     Not run ,     47.550580 ,       Not run ,       Not run ,   47.177374 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Polybench_ADI               , 1.630460 ,  Not run ,      Not run ,  Not run ,   1.609247 ,      Not run ,    Not run , 1.650289 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    0.572121 ,      Not run ,     Not run ,      0.627288 ,       Not run ,       Not run ,    0.617518 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Polybench_ATAX              , 1.814705 ,  Not run ,      Not run ,  Not run ,   1.815427 ,      Not run ,    Not run , 1.818813 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    0.825642 ,      Not run ,     Not run ,      0.859441 ,       Not run ,       Not run ,    0.946794 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Polybench_FDTD_2D           , 4.828654 ,  Not run ,      Not run ,  Not run ,   4.472165 ,      Not run ,    Not run , 4.481441 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    5.083956 ,      Not run ,     Not run ,      5.321197 ,       Not run ,       Not run ,    5.116962 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Polybench_FLOYD_WARSHALL    , 57.269562 ,  Not run ,      Not run ,  Not run ,  59.133650 ,      Not run ,    Not run , 59.438686 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,   21.586174 ,      Not run ,     Not run ,     21.760414 ,       Not run ,       Not run ,   21.937873 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Polybench_GEMM              , 89.246467 ,  Not run ,      Not run ,  Not run ,  90.026109 ,      Not run ,    Not run , 89.936668 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,   36.135731 ,      Not run ,     Not run ,     37.029996 ,       Not run ,       Not run ,   37.576470 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Polybench_GEMVER            , 0.451965 ,  Not run ,      Not run ,  Not run ,   0.452382 ,      Not run ,    Not run , 0.452407 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    0.208686 ,      Not run ,     Not run ,      0.208116 ,       Not run ,       Not run ,    0.208020 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Polybench_GESUMMV           , 0.473638 ,  Not run ,      Not run ,  Not run ,   0.472957 ,      Not run ,    Not run , 0.476395 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    0.489691 ,      Not run ,     Not run ,      0.492641 ,       Not run ,       Not run ,    0.532036 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Polybench_HEAT_3D           , 7.171062 ,  Not run ,      Not run ,  Not run ,   6.902914 ,      Not run ,    Not run , 6.980384 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    3.090217 ,      Not run ,     Not run ,      3.427252 ,       Not run ,       Not run ,    3.252684 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Polybench_JACOBI_1D         , 9.524340 ,  Not run ,      Not run ,  Not run ,   9.436238 ,      Not run ,    Not run , 9.436184 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    7.596723 ,      Not run ,     Not run ,      7.898235 ,       Not run ,       Not run ,    7.463581 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Polybench_JACOBI_2D         , 16.781746 ,  Not run ,      Not run ,  Not run ,  16.394598 ,      Not run ,    Not run , 16.813819 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    9.987807 ,      Not run ,     Not run ,     10.341562 ,       Not run ,       Not run ,   10.033184 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Polybench_MVT               , 1.697468 ,  Not run ,      Not run ,  Not run ,   1.691223 ,      Not run ,    Not run , 1.692236 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    0.703940 ,      Not run ,     Not run ,      0.706170 ,       Not run ,       Not run ,    0.719268 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Stream_ADD                  , 4.027113 ,  Not run ,      Not run ,  Not run ,   4.001120 ,      Not run ,    Not run , 4.017774 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    4.370302 ,      Not run ,     Not run ,      4.876516 ,       Not run ,       Not run ,    4.862764 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Stream_COPY                 , 3.914623 ,  Not run ,      Not run ,  Not run ,   3.650166 ,      Not run ,    Not run , 3.653308 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,    3.891476 ,      Not run ,     Not run ,      4.331764 ,       Not run ,       Not run ,    4.333506 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
