Mean Speedup Report (T_ref/T_var): ref var = Base_Seq  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                      , Base_Seq , Base_Seq , Base_Seq     , Base_Seq , Lambda_Seq , Lambda_Seq   , Lambda_Seq , RAJA_Seq , RAJA_Seq , RAJA_Seq , RAJA_Seq     , RAJA_Seq , RAJA_Seq , RAJA_Seq , Base_OpenMP , Base_OpenMP  , Base_OpenMP , Lambda_OpenMP , Lambda_OpenMP , Lambda_OpenMP , RAJA_OpenMP , RAJA_OpenMP , RAJA_OpenMP  , RAJA_OpenMP , RAJA_OpenMP , RAJA_OpenMP
Kernel                      , default  , library  , replicate_64 , direct   , default    , replicate_64 , direct     , default  , new      , library  , replicate_64 , direct   , funcptr  , virtfunc , default     , replicate_64 , direct      , default       , replicate_64  , direct        , default     , new         , replicate_64 , direct      , funcptr     , virtfunc   
Lcals_HYDRO_1D              ,    1.000 ,  Not run ,      Not run ,  Not run ,      0.998 ,      Not run ,    Not run ,    0.997 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       0.836 ,      Not run ,     Not run ,         0.842 ,       Not run ,       Not run ,       0.784 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Lcals_HYDRO_2D              ,    1.000 ,  Not run ,      Not run ,  Not run ,      0.995 ,      Not run ,    Not run ,    1.002 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       1.278 ,      Not run ,     Not run ,         1.266 ,       Not run ,       Not run ,       1.281 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Lcals_INT_PREDICT           ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.006 ,      Not run ,    Not run ,    0.996 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       1.379 ,      Not run ,     Not run ,         1.295 ,       Not run ,       Not run ,       1.286 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Lcals_PLANCKIAN             ,    1.000 ,  Not run ,      Not run ,  Not run ,      0.999 ,      Not run ,    Not run ,    1.001 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       3.823 ,      Not run ,     Not run ,         3.836 ,       Not run ,       Not run ,       3.844 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Lcals_TRIDIAG_ELIM          ,    1.000 ,  Not run ,      Not run ,  Not run ,      0.998 ,      Not run ,    Not run ,    0.997 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       1.089 ,      Not run ,     Not run ,         1.115 ,       Not run ,       Not run ,       1.077 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Polybench_2MM               ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.004 ,      Not run ,    Not run ,    1.000 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       2.559 ,      Not run ,     Not run ,         2.421 ,       Not run ,       Not run ,       2.497 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Polybench_3MM               ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.002 ,      Not run ,    Not run ,    1.004 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       2.457 ,      Not run ,     Not run ,         2.359 ,       Not run ,       Not run ,       2.377 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Polybench_ADI               ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.013 ,      Not run ,    Not run ,    0.988 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       2.850 ,      Not run ,     Not run ,         2.599 ,       Not run ,       Not run ,       2.640 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Polybench_ATAX              ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.000 ,      Not run ,    Not run ,    0.998 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       2.198 ,      Not run ,     Not run ,         2.111 ,       Not run ,       Not run ,       1.917 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Polybench_FDTD_2D           ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.080 ,      Not run ,    Not run ,    1.077 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       0.950 ,      Not run ,     Not run ,         0.907 ,       Not run ,       Not run ,       0.944 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Polybench_FLOYD_WARSHALL    ,    1.000 ,  Not run ,      Not run ,  Not run ,      0.968 ,      Not run ,    Not run ,    0.964 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       2.653 ,      Not run ,     Not run ,         2.632 ,       Not run ,       Not run ,       2.611 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Polybench_GEMM              ,    1.000 ,  Not run ,      Not run ,  Not run ,      0.991 ,      Not run ,    Not run ,    0.992 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       2.470 ,      Not run ,     Not run ,         2.410 ,       Not run ,       Not run ,       2.375 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Polybench_GEMVER            ,    1.000 ,  Not run ,      Not run ,  Not run ,      0.999 ,      Not run ,    Not run ,    0.999 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       2.166 ,      Not run ,     Not run ,         2.172 ,       Not run ,       Not run ,       2.173 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Polybench_GESUMMV           ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.001 ,      Not run ,    Not run ,    0.994 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       0.967 ,      Not run ,     Not run ,         0.961 ,       Not run ,       Not run ,       0.890 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Polybench_HEAT_3D           ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.039 ,      Not run ,    Not run ,    1.027 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       2.321 ,      Not run ,     Not run ,         2.092 ,       Not run ,       Not run ,       2.205 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Polybench_JACOBI_1D         ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.009 ,      Not run ,    Not run ,    1.009 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       1.254 ,      Not run ,     Not run ,         1.206 ,       Not run ,       Not run ,       1.276 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Polybench_JACOBI_2D         ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.024 ,      Not run ,    Not run ,    0.998 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       1.680 ,      Not run ,     Not run ,         1.623 ,       Not run ,       Not run ,       1.673 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Polybench_MVT               ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.004 ,      Not run ,    Not run ,    1.003 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       2.411 ,      Not run ,     Not run ,         2.404 ,       Not run ,       Not run ,       2.360 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Stream_ADD                  ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.006 ,      Not run ,    Not run ,    1.002 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       0.921 ,      Not run ,     Not run ,         0.826 ,       Not run ,       Not run ,       0.828 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
Stream_COPY                 ,    1.000 ,  Not run ,      Not run ,  Not run ,      1.072 ,      Not run ,    Not run ,    1.072 ,  Not run ,  Not run ,      Not run ,  Not run ,  Not run ,  Not run ,       1.006 ,      Not run ,     Not run ,         0.904 ,       Not run ,       Not run ,       0.903 ,     Not run ,      Not run ,     Not run ,     Not run ,     Not run
