FOM Report : signed speedup(-)/slowdown(+) for each PM (base vs. RAJA) -> (T_RAJA - T_base) / T_base ) ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
'OVER_TOL' in column to right if RAJA speedup is over tolerance ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  , 
Kernel                      , Base_Seq-default          ,         , Base_Seq-library          ,         , Base_Seq-replicate_64     ,         , Base_Seq-direct           ,         , Lambda_Seq-default        ,         , Lambda_Seq-replicate_64   ,         , Lambda_Seq-direct         ,         , RAJA_Seq-default          ,         , RAJA_Seq-new              ,         , RAJA_Seq-library          ,         , RAJA_Seq-replicate_64     ,         , RAJA_Seq-direct           ,         , RAJA_Seq-funcptr          ,         , RAJA_Seq-virtfunc         ,         , Base_OpenMP-default       ,         , Base_OpenMP-replicate_64  ,         , Base_OpenMP-direct        ,         , Lambda_OpenMP-default     ,         , Lambda_OpenMP-replicate_64,         , Lambda_OpenMP-direct      ,         , RAJA_OpenMP-default       ,         , RAJA_OpenMP-new           ,         , RAJA_OpenMP-replicate_64  ,         , RAJA_OpenMP-direct        ,         , RAJA_OpenMP-funcptr       ,         , RAJA_OpenMP-virtfunc      ,        
Lcals_EOS                   , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , 0.028                     ,         , 0                         ,         , 0                         ,         , -0.04                     ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0.044                     ,         , 0                         ,         , 0                         ,         , 0.11                      ,OVER_TOL , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Lcals_FIRST_DIFF            , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , -0.00037                  ,         , 0                         ,         , 0                         ,         , 0.0033                    ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0.014                     ,         , 0                         ,         , 0                         ,         , 0.027                     ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Lcals_FIRST_MIN             , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , 0.032                     ,         , 0                         ,         , 0                         ,         , -0.18                     ,         , 0.0035                    ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0.056                     ,         , 0                         ,         , 0                         ,         , -0.042                    ,         , -0.083                    ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Lcals_FIRST_SUM             , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , -0.0065                   ,         , 0                         ,         , 0                         ,         , -0.0028                   ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0.053                     ,         , 0                         ,         , 0                         ,         , 0.055                     ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Lcals_GEN_LIN_RECUR         , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , -0.0031                   ,         , 0                         ,         , 0                         ,         , 0.022                     ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0.011                     ,         , 0                         ,         , 0                         ,         , 0.053                     ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Lcals_HYDRO_1D              , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , 0.0021                    ,         , 0                         ,         , 0                         ,         , 0.0026                    ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , -0.0073                   ,         , 0                         ,         , 0                         ,         , 0.066                     ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Lcals_HYDRO_2D              , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , 0.0045                    ,         , 0                         ,         , 0                         ,         , -0.0017                   ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0.0093                    ,         , 0                         ,         , 0                         ,         , -0.0022                   ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Lcals_INT_PREDICT           , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , -0.0063                   ,         , 0                         ,         , 0                         ,         , 0.0044                    ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0.065                     ,         , 0                         ,         , 0                         ,         , 0.072                     ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Lcals_PLANCKIAN             , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , 0.0012                    ,         , 0                         ,         , 0                         ,         , -0.00052                  ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , -0.0034                   ,         , 0                         ,         , 0                         ,         , -0.0056                   ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
Lcals_TRIDIAG_ELIM          , 0                         ,base_ref , 0                         ,         , 0                         ,         , 0                         ,         , 0.0024                    ,         , 0                         ,         , 0                         ,         , 0.0034                    ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,base_ref , 0                         ,         , 0                         ,         , -0.023                    ,         , 0                         ,         , 0                         ,         , 0.011                     ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,         , 0                         ,        
